gene,module_id,stability_score,classification
ABCA4,0,0.043333333,unstable
ABCC6,3,0.129795918,unstable
ABHD12,1,0.851428571,core
ACBD5,2,0.129411765,unstable
ACO2,0,0.792222222,core
ADAM9,0,0.792222222,core
ADAMTS18,0,0.726666667,core
ADGRV1,11,0.618666667,peripheral
AFG3L2,1,0.851428571,core
AGXT,3,0.176326531,unstable
AHI1,4,0.73875,core
AIPL1,6,0.6912,peripheral
AIRE,3,0.174693878,unstable
ALDH3A2,0,0.046111111,unstable
ALMS1,7,0.992,core
ALPK1,0,0.792222222,core
AMACR,3,0.106122449,unstable
AMPD2,1,0.851428571,core
ANKRD17,2,0,unstable
ANTXR1,3,0.127346939,unstable
AP3B1,8,0.9984,core
AP3B2,2,0.204705882,unstable
AP3D1,8,0.9984,core
AP5Z1,1,0.851428571,core
ARL13B,4,0.73875,core
ARL2BP,4,0.73875,core
ARL3,4,0.73875,core
ARL6,7,0.992,core
ARMC9,4,0.73875,core
ARSG,11,0.618666667,peripheral
ATAD3A,2,0.218039216,unstable
ATF6,12,0.857142857,core
ATG7,2,0,unstable
ATOH7,5,0.641428571,peripheral
ATP6V1A,2,0.034509804,unstable
ATXN1,1,0.851428571,core
ATXN7,1,0.502857143,peripheral
B3GALNT2,5,0.617142857,peripheral
BBIP1,7,0.992,core
BBS1,7,0.992,core
BBS10,7,0.992,core
BBS12,7,0.992,core
BBS2,7,0.992,core
BBS4,7,0.992,core
BBS5,7,0.992,core
BBS7,7,0.992,core
BBS9,7,0.992,core
BEST1,0,0.081666667,unstable
BLOC1S3,8,0.9984,core
BLOC1S5,8,0.9984,core
BLOC1S6,8,0.9984,core
BOLA3,2,0.269019608,unstable
BRAF,5,0.407142857,peripheral
BRAT1,2,0.127843137,unstable
BTD,3,0.145306122,unstable
C19orf12,1,0.851428571,core
C1QTNF5,0,0.741666667,core
CABP4,10,0.914,core
CACNA1F,10,0.914,core
CACNA2D4,10,0.914,core
CAPN5,5,0.641428571,peripheral
CC2D2A,4,0.73875,core
CCDC88A,2,0.221960784,unstable
CDC42,2,0.156078431,unstable
CDH23,11,0.074666667,unstable
CDH3,3,0.060408163,unstable
CDHR1,0,0.792222222,core
CEP104,4,0.73875,core
CEP164,6,0.152,unstable
CEP290,4,0.73875,core
CEP41,4,0.73875,core
CEP78,11,0.618666667,peripheral
CEP83,6,0.152,unstable
CERKL,0,0.585,peripheral
CFAP410,1,0.783571429,core
CFAP418,7,0.992,core
CFH,0,0.723888889,core
CHD7,4,0.15625,unstable
CHM,0,0.726666667,core
CISD2,8,0.96,core
CLCC1,0,0.726666667,core
CLCN2,0,0.726666667,core
CLCN3,4,0.545,peripheral
CLEC3B,0,0.795,core
CLN3,1,0.801428571,core
CLN5,1,0.801428571,core
CLN8,1,0.801428571,core
CLRN1,11,0.618666667,peripheral
CNGA1,11,0.165333333,unstable
CNGA3,12,0.857142857,core
CNGB3,12,0.811428571,core
